t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
2.17, 1016, 193, 2.489535045720163, 62.507999999999996, 0.00019175345033660654
2.19, 1015, 194, 2.489726799170499, 62.507999999999996, 0.00019175345033660654
2.21, 1014, 195, 2.4910690733228553, 62.507999999999996, 0.00019175345033660654
2.22, 1014, 195, 2.491548456948697, 62.507999999999996, 0.00019175345033660654
2.24, 1013, 196, 2.491644333673865, 62.507999999999996, 0.0002876301755049098
2.25, 1012, 196, 2.491836087124202, 62.507999999999996, 0.0
2.26, 1012, 197, 2.4920278405745386, 62.507999999999996, 0.0003835069006732131
2.2800000000000002, 1011, 198, 2.4924113474752114, 62.507999999999996, 0.0004793836258415163
2.29, 1010, 198, 2.4926989776507167, 62.507999999999996, 0.00019175345033660654
2.3, 1010, 198, 2.492794854375885, 62.507999999999996, 0.00019175345033660654
2.31, 1009, 199, 2.492890731101053, 62.507999999999996, 0.0002876301755049098
2.32, 1009, 199, 2.49308248455139, 62.507999999999996, 0.0002876301755049098
2.33, 1008, 199, 2.493178361276558, 62.507999999999996, 0.0
2.34, 1008, 200, 2.492890731101053, 62.507999999999996, 0.0003835069006732131
2.36, 1007, 201, 2.4932742380017263, 62.507999999999996, 0.0003835069006732131
2.38, 1006, 201, 2.4933701147268947, 62.507999999999996, 9.587672516830327e-05
2.41, 1004, 202, 2.493561868177231, 62.507999999999996, 0.0
2.42, 1004, 203, 2.493561868177231, 62.507999999999996, 0.0002876301755049098
2.43, 1003, 203, 2.4932742380017263, 62.507999999999996, 9.587672516830327e-05
2.44, 1003, 204, 2.493178361276558, 62.507999999999996, 0.0004793836258415163
2.46, 1002, 204, 2.493753621627568, 62.507999999999996, 9.587672516830327e-05
2.4699999999999998, 1001, 205, 2.493945375077905, 62.507999999999996, 0.00019175345033660654
2.48, 1001, 205, 2.4943288819785776, 62.507999999999996, 0.00019175345033660654
2.49, 1000, 205, 2.4943288819785776, 62.507999999999996, 0.0
2.5, 1000, 206, 2.494041251803073, 62.507999999999996, 0.0002876301755049098
2.51, 999, 206, 2.493945375077905, 62.507999999999996, 9.587672516830327e-05
2.52, 999, 207, 2.494137128528241, 62.507999999999996, 0.0003835069006732131
2.54, 998, 207, 2.4942330052534096, 62.507999999999996, 9.587672516830327e-05
2.55, 997, 208, 2.494424758703746, 62.507999999999996, 0.00019175345033660654
2.57, 996, 208, 2.4948082656044193, 62.507999999999996, 0.0
2.58, 996, 209, 2.4948082656044193, 62.507999999999996, 0.0002876301755049098
2.59, 995, 209, 2.495287649230261, 62.507999999999996, 0.0
